Centre,CUPs,Codigo,Estado,Comunidad,Provincia,Dirección Suministro,CP,Geo-Loaction,Energy Rating,Audit Status,Distribuidora Eléctrica
Tenerife Sur,ES0031607591971009XF,EE,Alta,Canarias,Tenerife,"AV ARQUITECTO GOMEZ CUESTA 6, PLAYA AZUL 2, LOC-5-",38660,"28.06573, -16.72887",B,Listo,e-distribución (Endesa)
Lanzarote,ES0031601107316021XW,EF,Alta,Canarias,Las Palmas,CL NEPTUNO 5 LOCAL.DECORACION.,35500,"28.96587, -13.54904",C,Listo,e-distribución (Endesa)
Las Palmas - Puerto de la Luz,ES0031601013502001MS,EG,Alta,Canarias,Las Palmas,"AV PETROLIFERAS 0, DARS. EXT., LOC, CENTR. MEDIC",35010,"28.15406, -15.41403",Pending Audit,No Data,e-distribución (Endesa)
Santa Cruz de La Palma,ES0031601066550008TV,EH,Alta,Canarias,Tenerife,"Avda. Marítima, 77 (Edificio Aroda",38700,"28.68771, -17.75975",C,Listo,e-distribución (Endesa)
Telde,ES0031607113036005YY,EI,Alta,Canarias,Las Palmas,AV CONSTITUCION 2.CLINICA.,35200,"27.9988, -15.41453",B,Listo,e-distribución (Endesa)
Huesca,ES0031300001885001YE,FC,Alta,Aragon,Huesca,"PZ SAN ANTONIO 10, LOC",22002,"42.13543, -0.40799",E,Listo,e-distribución (Endesa)
Huesca,ES0031300001885035PX,FC,Alta,Aragon,Huesca,"PZ SAN ANTONIO 10, LOC, .",22002,"42.13543, -0.40799",E,Listo,e-distribución (Endesa)
Lleida,ES0031406191677004GP,FD,Alta,Catalunya,Lleida,"COMTESSA ELVIRA 13, BJO-1, TODO ELECTRI",25008,"41.62175, 0.62139",C,Listo,e-distribución (Endesa)
Tarragona Piso,ES0031405650793004AQ,FE,Alta,Catalunya,Tarragona,"AV CATALUNYA 45, 1-1",43002,"41.12339, 1.24682",Pending Audit,No Data,e-distribución (Endesa)
Zaragoza,ES0031300014540042CA,FG,Alta,Aragon,Zaragoza,"AV NAVARRA 73, LOC, MUTUA ACCID",50010,"41.65532, -0.90753",D,Listo,e-distribución (Endesa)
Girona,ES0031408559357001VK,FH,Alta,Catalunya,Girona,CALLE JOAN TORRO I CABRATOSA Nº24,17005,"41.96458, 2.80788",C,Listo,e-distribución (Endesa)
Eivissa,"ES0031500044334012LR , ES0031500604178002RW , 
ES0031500604178001RR",FI,Alta,Islas Baleares,Eivissa,"AV IGNASI WALLIS 39, LOCAL 6",07800,"38.9122, 1.43022",Pending Audit,No Data,e-distribución (Endesa)
Palma de Mallorca,ES0031500125062001QZ,FJ,Alta,Islas Baleares,Palma de Mallorca,"Ramón Berenguer III, 12",07003,"39.57895, 2.65126",C,Listo,e-distribución (Endesa)
Ciutadella,ES0031500004923001LL,FK,Alta,Islas Baleares,Ciutadella,"Algaiarens, 3",07760,"40.00525, 3.84251",C,Listo,e-distribución (Endesa)
Maó,ES0031500023979001NJ,FL,Alta,Islas Baleares,Maó,"Font i Vidal, 1",07700,"39.88679, 4.25352",C,Listo,e-distribución (Endesa)
Palamós,ES0031408196672002LK,FM,Alta,Catalunya,Girona,"BARCELONA 10, LOC, LOCAL 2",17230,"41.85056, 3.12398",D,Listo,e-distribución (Endesa)
Cervera,ES0031405575380002BN,FN,Alta,Catalunya,Lleida,"CALLE VIDAL DE MONTPALAU Nº15, ESC BAJO",25200,"41.67381, 1.27257",D,Listo,e-distribución (Endesa)
Utebo,ES0031300248200001WH,FR,Alta,Aragon,Zaragoza,"PG EL AGUILA 0, CONSULTORIO",50180,,D,Listo,e-distribución (Endesa)
Manacor,ES0031500553476002RF,FS,Alta,Islas Baleares,Manacor,"Vía Portugal, 6",07500,"39.56609, 3.21342",C,Listo,e-distribución (Endesa)
Olot,ES0122000011990531KD,FT,Alta,Catalunya,Girona,AVENIDA DELS REIS CATOLICS Nº40,17800,"42.18427, 2.48124",D,Listo,Bassols Energia
Figueres,ES0031446442794001MX,FU,Alta,Catalunya,Girona,"MIGDIA 3, ASEPEYO, LOC, MUTUA",17600,"42.26324, 2.96772",D,Listo,e-distribución (Endesa)
Sabiñánigo,ES0030320039228001WB,FW,Alta,Aragon,Huesca,"AV HUESCA 0, ASEGURADORA",22600,"42.51566, -0.36249",D,Listo,Otra Distribuidora Local
Valls,ES0031408367614001ZV,FX,Alta,Catalunya,Tarragona,"PS ESTACIO DE L' 5, LOCAL 4",43800,"41.28644, 1.25472",D,Listo,e-distribución (Endesa)
Alcañiz,ES0031300072350021BB,FY,Alta,Aragon,Teruel,"AV GALAN BERGUA 31, BJO, A",44600,"41.05109, -0.12799",D,Listo,e-distribución (Endesa)
Reus,ES0031406280073002PZ,FZ,Alta,Catalunya,Tarragona,"AV MARIA FORTUNY 2, BJO-1",43204,"41.15305, 1.11548",D,Listo,e-distribución (Endesa)
Alicante,ES0021000000643347MB,GC,Alta,C. Valenciana,Alicante,"Avda JAIME I, 2, Bajo 3",03009,"38.36737, -0.49668",B,Listo,i-DE (Iberdrola)
Almería,ES0031104482138003EL,GD,Alta,Andalucia,Almería,"Avda. Cabo de Gata, 25 . Edf. Vista Bahía",04007,"36.83213, -2.45809",C,Listo,e-distribución (Endesa)
Cartagena,ES0021000005892656FF,GE,Alta,Murcia,Cartagena,"Carlos III, 10-A",30201,"37.6055, -0.98991",C,Listo,i-DE (Iberdrola)
Castellón,ES0021000002638315XM,GF,Alta,C. Valenciana,Castellón,"C/ GRAN VIA TARREGA MONTEBLANCO, 16",12006,"39.98437, -0.04796",D,Listo,i-DE (Iberdrola)
Elche,ES0026000010191452HF,GH,Alta,C. Valenciana,Alicante,"CL BARCHELL 23 CENTRO,0",03203,"38.26987, -0.66969",B,Listo,e-redes (EDP)
Murcia,ES0021000006251095CZ,GJ,Alta,Murcia,Murcia,"Avda. Don Juan de Borbón, 16",30007,"37.99417, -1.12419",C,Listo,i-DE (Iberdrola)
Olula del Río,ES0031103397469001TT,GK,Alta,Andalucia,Almería,AVENIDA ALMANZORA Nº10,04860,"37.35557, -2.29575",C,Listo,e-distribución (Endesa)
Valencia Baleares,ES0021000008769780WS,GN,Alta,C. Valenciana,Valencia,"Avda BALEARES, 16, Bajo Izq",46023,"39.46293, -0.35497",Pending Audit,No Data,i-DE (Iberdrola)
Paterna,ES0021000008296079ZE,GO,Alta,C. Valenciana,Valencia,"Avda. Vicente Mortes, 100",46980,"39.51066, -0.45263",C,Listo,i-DE (Iberdrola)
Silla,ES0021000008462392TE,GP,Alta,C. Valenciana,Valencia,"Avda. Alacant, 60 / Jose Peman",46460,"39.36524, -0.40737",C,Listo,i-DE (Iberdrola)
Benidorm,ES0021000000799912GS,GR,Alta,C. Valenciana,Alicante,"C/ LA NUCIA, 4, 15 Edif. MarinaTolls II",03502,"38.54507, -0.1322",B,Listo,i-DE (Iberdrola)
Alzira,ES0021000012180263AN,GS,Alta,C. Valenciana,Valencia,"C/ Trinidad Redal Dufaur, 53 ",46600,"39.1440 , -0.43133",C,Listo,i-DE (Iberdrola)
Gandía-1,ES0021000008025253SK,GT,Alta,C. Valenciana,Valencia,"Plaça Parc de l'Estació, 20",46701,"38.97122, -0.18039",C,Listo,i-DE (Iberdrola)
Gandía-2,ES0021000008025302HR,GT,Alta,C. Valenciana,Valencia,"Calderón de la Barca, 392",46701,"38.97133, -0.17996",C,Listo,i-DE (Iberdrola)
Valencia Cid,ES0021000008721059TP,GU,Alta,C. Valenciana,Valencia,"Avda CID, 146, Bajo 01",46014,"39.47015, -0.41031",Pending Audit,No Data,i-DE (Iberdrola)
Valencia Cid,ES0021000008694283DG,GU,Alta,C. Valenciana,Valencia,"Senda San Miguel de Soternes, 36, VALENCIA",,"39.47015, -0.41031",Pending Audit,No Data,i-DE (Iberdrola)
