Centre,CUPs,Estado,Comunidad,Provincia,Dirección Suministro,CP,Geo-Loaction,Energy Rating,Audit Status,Distribuidora Eléctrica,Cups Gas
"Via Augusta 18, Pta. 2",ES0031408110586004DX,Alta,Catalunya,Barcelona,"VIA AUGUSTA 18, NO USAR, E-1 2",08006,"41.39708, 2.15485",C,Listo,e-distribución (Endesa),
Via Augusta 36,ES0031405968956002BN,Alta,Catalunya,Barcelona,"VIA AUGUSTA 34, BJO",08006,"41.39797, 2.15398",C,Listo,e-distribución (Endesa),
Via Augusta 48,ES0031405422217008DK,Alta,Catalunya,Barcelona,"VIA AUGUSTA 48, 3-3",08006,"41.39841, 2.15376",C,Listo,e-distribución (Endesa),
Pineda de Mar,ES0031405151382002EC,Alta,Catalunya,Barcelona,"MONTPALAU 6, GESTORIA",08397,"41.62799, 2.68817",D,Listo,e-distribución (Endesa),
Berga,ES0031408386025002RR,Alta,Catalunya,Barcelona,"PZ CIM D' ESTELA 9, LOC, .",08600,"42.10506, 1.85174",D,Listo,e-distribución (Endesa),
Vilanova i la Geltrú,ES0031408409233003BJ,Alta,Catalunya,Barcelona,"Rambla Samá, 81-83",08800,"41.22012, 1.72454",C,Listo,e-distribución (Endesa),
Badalona,ES0031408544624004WL,Alta,Catalunya,Barcelona,CREU 27-LOCAL 2 I.IGLESIAS 2,08912,"41.44885, 2.24502",D,Listo,e-distribución (Endesa),
Guadalhorce,ES0031104239023001FP,Alta,Andalucia,Málaga,"CARLO GOLDONI (PG.GUADALHORCE) 84, LOC",29004,"36.69845, -4.49216",C,Listo,e-distribución (Endesa),
"Via Augusta 18, Pta. 3",ES0031408110586007DJ,Alta,Catalunya,Barcelona,"VIA AUGUSTA 18, NO USAR, E-1 3-1, Y 3ª 2ª",08006,"41.39708, 2.15485",C,Listo,e-distribución (Endesa),
"Via Augusta 18, Pta. 2",ES0031408110586012DH,Alta,Catalunya,Barcelona,"VIA AUGUSTA 18, NO USAR, E-1 6",08006,"41.39708, 2.15485",C,Listo,e-distribución (Endesa),
"Via Augusta 18, ENT.",ES0031408110586018XR,Alta,Catalunya,Barcelona,"VIA AUGUSTA 18, NO USAR, E-1 ENT",08006,"41.39708, 2.15485",C,Listo,e-distribución (Endesa),
"Via Augusta 18, Pta. 1",ES0031405422205008VG,Alta,Catalunya,Barcelona,"VIA AUGUSTA 18, NO USAR, 1-A",08006,"41.39708, 2.15485",C,Listo,e-distribución (Endesa),
"Via Augusta 18, Pta BJ",ES0031405422206002ZD,Alta,Catalunya,Barcelona,"VIA AUGUSTA 18, BJO, LOCAL",08006,"41.39708, 2.15485",C,Listo,e-distribución (Endesa),
Écija,ES0031104458193001FH,Alta,Andalucia,Sevilla,"AV GENIL (DEL) 17, LC ASEPEYO",41400,"37.53432, -5.07822",D,Listo,e-distribución (Endesa),
